origin_msoa,origin_msoa_name,origin_lad_name_guess,commuters_to_selected_workplaces,od_weighted_msoa_exposure_sum,linked_workplace_msoas,linked_workplace_lads,msoa_exposure_per_1000
E02000810,Southwark 004,Southwark,982,1172.9884650542083,26,8,1.1729884650542084
E02000827,Southwark 021,Southwark,915,1056.523035569844,26,8,1.056523035569844
E02000812,Southwark 006,Southwark,881,1046.7488548147421,26,8,1.0467488548147421
E02000653,Lewisham 001,Lewisham,882,1032.5882327394818,24,8,1.0325882327394817
E02000620,Lambeth 003,Lambeth,903,1019.5532430846249,25,8,1.0195532430846248
E02000747,Newham 034,Newham,873,1007.3299955670241,26,8,1.007329995567024
E02000818,Southwark 012,Southwark,825,980.4087623471448,25,8,0.9804087623471448
E02000816,Southwark 010,Southwark,835,976.9049475588309,26,8,0.976904947558831
E02000564,Islington 011,Islington,844,974.2953832911661,25,8,0.974295383291166
E02000369,Hackney 025,Hackney,812,962.1624235479146,25,8,0.9621624235479146
E02000814,Southwark 008,Southwark,819,957.6694108092452,26,8,0.9576694108092452
E02000819,Southwark 013,Southwark,800,952.1399752110631,25,8,0.9521399752110631
E02006999,Newham 042,Newham,815,951.6708579944966,26,8,0.9516708579944966
E02000632,Lambeth 015,Lambeth,808,925.4535390776614,24,8,0.9254535390776614
E02000628,Lambeth 011,Lambeth,821,925.4194666696754,26,8,0.9254194666696755
E02000825,Southwark 019,Southwark,796,922.8453740062049,25,8,0.9228453740062049
E02000875,Tower Hamlets 012,Tower Hamlets,796,921.6059556552925,24,8,0.9216059556552925
E02000619,Lambeth 002,Lambeth,801,920.3996752667824,25,8,0.9203996752667825
E02000968,Westminster 009,Westminster,900,915.3892941329077,26,8,0.9153892941329077
E02000820,Southwark 014,Southwark,787,911.1648726720384,26,8,0.9111648726720384
E02000821,Southwark 015,Southwark,768,908.4959988259263,25,8,0.9084959988259264
E02000980,Westminster 021,Westminster,853,904.4637200032026,25,8,0.9044637200032026
E02000826,Southwark 020,Southwark,770,899.5834827669737,26,8,0.8995834827669738
E02000649,Lambeth 032,Lambeth,792,899.1832939967554,25,8,0.8991832939967555
E02000877,Tower Hamlets 014,Tower Hamlets,771,896.4332781209567,24,8,0.8964332781209567
E02000627,Lambeth 010,Lambeth,780,883.1843204349088,26,8,0.8831843204349088
E02006853,Tower Hamlets 032,Tower Hamlets,792,876.6872251154625,22,8,0.8766872251154625
E02000823,Southwark 017,Southwark,751,869.5409748428574,26,8,0.8695409748428574
E02000894,Tower Hamlets 031,Tower Hamlets,752,866.3585791224239,25,8,0.8663585791224239
E02000625,Lambeth 008,Lambeth,786,859.4966414563984,25,8,0.8594966414563984
E02000824,Southwark 018,Southwark,741,859.4161082684211,25,8,0.8594161082684211
E02000624,Lambeth 007,Lambeth,758,856.1884776136003,24,8,0.8561884776136003
E02000573,Islington 020,Islington,709,855.4144561839042,24,8,0.8554144561839042
E02000926,Wandsworth 004,Wandsworth,795,854.8048031330094,24,8,0.8548048031330094
E02000867,Tower Hamlets 004,Tower Hamlets,723,849.6476106517993,25,8,0.8496476106517993
E02000886,Tower Hamlets 023,Tower Hamlets,736,848.1957448644152,25,8,0.8481957448644153
E02000813,Southwark 007,Southwark,737,845.2438891930819,26,8,0.8452438891930819
E02000807,Southwark 001,Southwark,723,841.0258265351135,24,8,0.8410258265351135
E02007084,Wandsworth 039,Wandsworth,787,837.1204096781489,25,8,0.8371204096781489
E02000878,Tower Hamlets 015,Tower Hamlets,684,826.4524191325269,24,8,0.8264524191325269
E02000889,Tower Hamlets 026,Tower Hamlets,669,812.0280725981497,24,8,0.8120280725981497
E02000981,Westminster 022,Westminster,758,811.8911658769788,26,8,0.8118911658769787
E02000871,Tower Hamlets 008,Tower Hamlets,704,808.474898146609,25,8,0.808474898146609
E02000815,Southwark 009,Southwark,684,805.0775685990177,27,8,0.8050775685990177
E02007115,Camden 029,Camden,729,804.1983728017511,25,8,0.8041983728017511
E02000623,Lambeth 006,Lambeth,724,803.9169072100237,25,8,0.8039169072100237
E02000370,Hackney 026,Hackney,648,803.8295400281388,23,8,0.8038295400281388
E02000964,Westminster 005,Westminster,741,793.3048150836723,25,8,0.7933048150836723
E02000932,Wandsworth 010,Wandsworth,698,791.3559079138107,25,8,0.7913559079138107
E02000622,Lambeth 005,Lambeth,685,788.3390019390724,26,8,0.7883390019390725
E02000655,Lewisham 003,Lewisham,675,784.6056484951459,26,8,0.7846056484951459
E02000629,Lambeth 012,Lambeth,688,783.9074932584267,24,8,0.7839074932584267
E02000973,Westminster 014,Westminster,703,774.6215628925659,25,8,0.7746215628925659
E02000908,Waltham Forest 014,Waltham Forest,666,753.4746310531157,27,8,0.7534746310531156
E02000829,Southwark 023,Southwark,640,750.907875614308,25,8,0.7509078756143079
E02000930,Wandsworth 008,Wandsworth,660,750.3998228652681,23,8,0.7503998228652681
E02000866,Tower Hamlets 003,Tower Hamlets,645,745.7487049611657,25,8,0.7457487049611656
E02000911,Waltham Forest 017,Waltham Forest,671,745.6873960096248,27,8,0.7456873960096247
E02006942,Southwark 036,Southwark,622,745.5302711705605,25,8,0.7455302711705605
E02007110,Hackney 032,Hackney,607,742.6837444529938,24,8,0.7426837444529938
E02000887,Tower Hamlets 024,Tower Hamlets,647,738.7331134454091,24,8,0.7387331134454092
E02000638,Lambeth 021,Lambeth,637,736.1301260319207,27,8,0.7361301260319206
E02000635,Lambeth 018,Lambeth,648,734.0249750421231,25,8,0.734024975042123
E02000367,Hackney 023,Hackney,613,723.6409483283043,25,8,0.7236409483283043
E02000556,Islington 003,Islington,628,715.3440617508097,27,8,0.7153440617508097
E02000733,Newham 020,Newham,618,708.4683550817716,24,8,0.7084683550817716
E02000568,Islington 015,Islington,622,708.198168425748,25,8,0.708198168425748
E02000114,Brent 022,Brent,665,698.1884853845908,26,8,0.6981884853845908
E02000948,Wandsworth 026,Wandsworth,603,695.851453909907,25,8,0.695851453909907
E02006928,Greenwich 035,Greenwich,591,690.4591270622569,23,8,0.6904591270622569
E02000567,Islington 014,Islington,594,689.212966253591,25,8,0.6892129662535911
E02000961,Westminster 002,Westminster,634,688.0619062084553,24,8,0.6880619062084553
E02000864,Tower Hamlets 001,Tower Hamlets,588,681.5843693645215,24,8,0.6815843693645215
E02000881,Tower Hamlets 018,Tower Hamlets,603,681.2434508078824,25,8,0.6812434508078824
E02000107,Brent 015,Brent,639,677.0934434208698,26,8,0.6770934434208697
E02000882,Tower Hamlets 019,Tower Hamlets,586,676.775003891996,24,8,0.676775003891996
E02000725,Newham 012,Newham,597,674.6036893113596,26,8,0.6746036893113596
E02000828,Southwark 022,Southwark,589,673.8209021177438,25,8,0.6738209021177438
E02000639,Lambeth 022,Lambeth,600,671.890224482889,25,8,0.671890224482889
E02000949,Wandsworth 027,Wandsworth,574,670.7868777454577,23,8,0.6707868777454576
E02000743,Newham 030,Newham,586,669.4773160450666,25,8,0.6694773160450666
E02000571,Islington 018,Islington,551,665.6011301296969,24,8,0.6656011301296969
E02000975,Westminster 016,Westminster,607,665.2083008717468,23,8,0.6652083008717468
