MSOA21CD,MSOA21NM,year,retail_units,total_rateable_value,total_floor_area,retail_vacancy_proxy,occupation_classification_completeness,occupation_classified_records,station_count,top100_station_count,mean_station_shock,weighted_shock_numerator,baseline_station_volume,study_submarket,workplace_msoa_station_shock,high_affected_group,comparison_label,retail_units_2019,total_rateable_value_2019,total_floor_area_2019,retail_vacancy_proxy_2019,retail_units_log_change_2019,log_retail_units_2019,total_rateable_value_log_change_2019,log_total_rateable_value_2019,total_floor_area_log_change_2019,log_total_floor_area_2019,retail_vacancy_proxy_change_2019
E02000001,City of London 001,2023,4244.0,186119719.0,470335.38,0.19700214132762311,1.0,3736.0,9,9,1.39432615810236,1179509.7486541523,787484,City,1.497820588931524,1,Top-100 affected,3939.0,194701201.0,425235.13,0.19618894256575417,0.07456109645346842,8.27893600229198,-0.04507596338995157,19.086976643923784,0.10080352620324895,12.96039989361802,0.000813198761868944
E02000001,City of London 001,2024,3549.0,189073545.0,385999.30000000005,0.15863192182410424,1.0,3070.0,9,9,1.39432615810236,1179509.7486541523,787484,City,1.497820588931524,1,Top-100 affected,3939.0,194701201.0,425235.13,0.19618894256575417,-0.10423311982251882,8.27893600229198,-0.029330014317064723,19.086976643923784,-0.09680646796928016,12.96039989361802,-0.03755702074164993
E02000001,City of London 001,2025,3593.0,182669405.0,396294.08,0.15777414075286417,1.0,3055.0,9,9,1.39432615810236,1179509.7486541523,787484,City,1.497820588931524,1,Top-100 affected,3939.0,194701201.0,425235.13,0.19618894256575417,-0.09191493494847514,8.27893600229198,-0.06378809144168329,19.086976643923784,-0.07048552935380137,12.96039989361802,-0.038414801812890004
E02000168,Camden 003,2023,177.0,4715075.0,16137.6,0.25,1.0,132.0,1,0,0.37828538807724943,10136.156973529898,26795,Tech Belt & Midtown,0.37828538807724943,0,Less-affected comparison,169.0,4568875.0,15118.09,0.2631578947368421,0.04598511324182297,5.135798437050262,0.031497811930359276,15.334777780759312,0.06525573430847409,9.623713462737138,-0.01315789473684209
E02000168,Camden 003,2024,165.0,4471850.0,14923.56,0.16129032258064516,1.0,124.0,1,0,0.37828538807724943,10136.156973529898,26795,Tech Belt & Midtown,0.37828538807724943,0,Less-affected comparison,169.0,4568875.0,15118.09,0.2631578947368421,-0.023810648693718406,5.135798437050262,-0.021464805923072205,15.334777780759312,-0.012950005647919482,9.623713462737138,-0.10186757215619693
E02000168,Camden 003,2025,165.0,4471850.0,14923.56,0.184,1.0,125.0,1,0,0.37828538807724943,10136.156973529898,26795,Tech Belt & Midtown,0.37828538807724943,0,Less-affected comparison,169.0,4568875.0,15118.09,0.2631578947368421,-0.023810648693718406,5.135798437050262,-0.021464805923072205,15.334777780759312,-0.012950005647919482,9.623713462737138,-0.0791578947368421
E02000177,Camden 012,2023,127.0,3793455.0,12235.67,0.35294117647058826,1.0,102.0,1,1,0.9851989169031027,16521.78583646503,16770,Tech Belt & Midtown,0.9851989169031026,1,Top-100 affected,125.0,3930205.0,15836.1,0.27956989247311825,0.01574835696813892,4.836281906951478,-0.03541436486890426,15.184202399774504,-0.2579181075709265,9.670110567798998,0.07337128399747
E02000177,Camden 012,2024,117.0,3830655.0,10655.7,0.3157894736842105,1.0,95.0,1,1,0.9851989169031027,16521.78583646503,16770,Tech Belt & Midtown,0.9851989169031026,1,Top-100 affected,125.0,3930205.0,15836.1,0.27956989247311825,-0.06559728248581287,4.836281906951478,-0.025655773910944646,15.184202399774504,-0.39616648648567576,9.670110567798998,0.036219581211092255
E02000177,Camden 012,2025,117.0,3801905.0,10655.7,0.3263157894736842,1.0,95.0,1,1,0.9851989169031027,16521.78583646503,16770,Tech Belt & Midtown,0.9851989169031026,1,Top-100 affected,125.0,3930205.0,15836.1,0.27956989247311825,-0.06559728248581287,4.836281906951478,-0.03318932187919543,15.184202399774504,-0.39616648648567576,9.670110567798998,0.04674589700056597
E02000186,Camden 021,2023,491.0,30371750.0,73276.45999999999,0.19464720194647203,1.0,411.0,2,1,0.7793167946374939,41848.01585416561,69568,Tech Belt & Midtown,0.6015411662569804,1,Top-100 affected,428.0,31510950.0,69077.09,0.16964285714285715,0.1370217975642909,6.061456918928017,-0.036822203231899664,17.265845694172977,0.05901545439935063,11.142992882775882,0.02500434480361488
E02000186,Camden 021,2024,471.0,27943475.0,67137.77,0.17380352644836272,1.0,397.0,2,1,0.7793167946374939,41848.01585416561,69568,Tech Belt & Midtown,0.6015411662569804,1,Top-100 affected,428.0,31510950.0,69077.09,0.16964285714285715,0.09552206665753804,6.061456918928017,-0.12015138066928088,17.265845694172977,-0.028475932338174914,11.142992882775882,0.004160669305505571
E02000186,Camden 021,2025,475.0,27626225.0,67167.56,0.16831683168316833,1.0,404.0,2,1,0.7793167946374939,41848.01585416561,69568,Tech Belt & Midtown,0.6015411662569804,1,Top-100 affected,428.0,31510950.0,69077.09,0.16964285714285715,0.10396093530340345,6.061456918928017,-0.1315695972650559,17.265845694172977,-0.028032322886799577,11.142992882775882,-0.0013260254596888232
E02000187,Camden 022,2023,311.0,32307575.0,47747.84,0.1423611111111111,1.0,288.0,1,1,0.8514210742487138,234897.70875340342,275889,Tech Belt & Midtown,0.8514210742487138,1,Top-100 affected,227.0,32583225.0,36535.25,0.105,0.31365755885504143,5.429345628954441,-0.008495862264897625,17.29930817403857,0.26764985501241334,10.506060197407662,0.03736111111111111
E02000187,Camden 022,2024,292.0,24015925.0,42909.06,0.14760147601476015,1.0,271.0,1,1,0.8514210742487138,234897.70875340342,275889,Tech Belt & Midtown,0.8514210742487138,1,Top-100 affected,227.0,32583225.0,36535.25,0.105,0.2508269800626266,5.429345628954441,-0.305080422467082,17.29930817403857,0.16080137885239232,10.506060197407662,0.04260147601476015
E02000187,Camden 022,2025,305.0,24435775.0,44009.19,0.1519434628975265,1.0,283.0,1,1,0.8514210742487138,234897.70875340342,275889,Tech Belt & Midtown,0.8514210742487138,1,Top-100 affected,227.0,32583225.0,36535.25,0.105,0.2942394729979396,5.429345628954441,-0.2877493281318664,17.29930817403857,0.18611627958879318,10.506060197407662,0.0469434628975265
E02000188,Camden 023,2023,138.0,6392240.0,12939.74,0.36936936936936937,1.0,111.0,1,1,0.6998690058934541,90626.03757314337,129490,Tech Belt & Midtown,0.6998690058934541,1,Top-100 affected,134.0,8648040.0,12779.21,0.24528301886792453,0.029199154692261864,4.90527477843843,-0.30224791017379893,15.972843379270516,0.012482593715372303,9.455653159721406,0.12408635050144484
E02000188,Camden 023,2024,110.0,4414065.0,9149.42,0.21686746987951808,1.0,83.0,1,1,0.6998690058934541,90626.03757314337,129490,Tech Belt & Midtown,0.6998690058934541,1,Top-100 affected,134.0,8648040.0,12779.21,0.24528301886792453,-0.19574457712609572,4.90527477843843,-0.6725365611593794,15.972843379270516,-0.33409810086594227,9.455653159721406,-0.028415548988406453
E02000188,Camden 023,2025,113.0,4170465.0,9159.68,0.17647058823529413,1.0,85.0,1,1,0.6998690058934541,90626.03757314337,129490,Tech Belt & Midtown,0.6998690058934541,1,Top-100 affected,134.0,8648040.0,12779.21,0.24528301886792453,-0.16907633004393396,4.90527477843843,-0.7293050411396447,15.972843379270516,-0.3329774690007099,9.455653159721406,-0.0688124306326304
E02000191,Camden 026,2023,513.0,42845025.0,108515.1,0.18872017353579176,1.0,461.0,3,2,0.8213410857242343,120066.06913111988,145656,West End,0.8243125523913871,1,Top-100 affected,494.0,44950020.0,101530.28,0.1310344827586207,0.03766550288647519,6.20455776256869,-0.047961669143781194,17.621061786067557,0.06653162072415064,11.528122207326998,0.05768569077717106
E02000191,Camden 026,2024,467.0,39054650.0,96158.42000000001,0.14150943396226415,1.0,424.0,3,2,0.8213410857242343,120066.06913111988,145656,West End,0.8243125523913871,1,Top-100 affected,494.0,44950020.0,101530.28,0.1310344827586207,-0.056089466651043196,6.20455776256869,-0.14058925519668364,17.621061786067557,-0.054359489190130006,11.528122207326998,0.010474951203643446
E02000191,Camden 026,2025,472.0,38027150.0,96558.34,0.15011547344110854,1.0,433.0,3,2,0.8213410857242343,120066.06913111988,145656,West End,0.8243125523913871,1,Top-100 affected,494.0,44950020.0,101530.28,0.1310344827586207,-0.04546237407675768,6.20455776256869,-0.1672508235104999,17.621061786067557,-0.0502091867073613,11.528122207326998,0.019080990682487836
E02000193,Camden 028,2023,1168.0,66394245.0,159831.79,0.2853080568720379,1.0,1055.0,3,2,1.1045262926922328,254377.6598818758,211848,Tech Belt & Midtown,1.2007555411515605,1,Top-100 affected,1106.0,72447605.0,152389.21000000002,0.2209660842754368,0.05449502876343093,7.009408932708637,-0.08725322864150087,18.098374182706756,0.047683803931258595,11.934199681326136,0.06434197259660113
E02000193,Camden 028,2024,1027.0,61488900.0,140164.07,0.22054054054054054,1.0,925.0,3,2,1.1045262926922328,254377.6598818758,211848,Tech Belt & Midtown,1.2007555411515605,1,Top-100 affected,1106.0,72447605.0,152389.21000000002,0.2209660842754368,-0.07403848669352708,7.009408932708637,-0.1640069377616733,18.098374182706756,-0.08362360286493775,11.934199681326136,-0.0004255437348962554
E02000193,Camden 028,2025,1044.0,61789435.0,142866.01,0.21624472573839662,1.0,948.0,3,2,1.1045262926922328,254377.6598818758,211848,Tech Belt & Midtown,1.2007555411515605,1,Top-100 affected,1106.0,72447605.0,152389.21000000002,0.2209660842754368,-0.05763676830972564,7.009408932708637,-0.15913121340181746,18.098374182706756,-0.06453020480239857,11.934199681326136,-0.004721358537040171
E02000566,Islington 013,2023,208.0,4868545.0,18988.71,0.04040404040404041,1.0,198.0,1,0,0.5611939493406878,31298.908942628837,55772,Tech Belt & Midtown,0.5611939493406878,0,Less-affected comparison,207.0,4947145.0,18512.289999999994,0.017857142857142856,0.004796172263493048,5.337538079701318,-0.016015514758672467,15.414321402610414,0.025408400959801014,9.826244131534558,0.02254689754689755
