clean_name,2019_Midweek,2019_Friday,2023_Monday,2023_Midweek,2023_Friday,2024_Monday,2024_Midweek,2024_Friday,2025_Monday,2025_Midweek,2025_Friday,raw_ratio_19_mon,raw_ratio_19_fri,raw_ratio_23_mon,raw_ratio_23_fri,collapse_23_mon,collapse_23_fri,total_collapse_23,raw_ratio_24_mon,raw_ratio_24_fri,collapse_24_mon,collapse_24_fri,total_collapse_24,raw_ratio_25_mon,raw_ratio_25_fri,collapse_25_mon,collapse_25_fri,total_collapse_25,cumulative_collapse_score,shock_rank,top100_affected,geometry
Bank and Monument,228118,210609,118906.0,160968.0,106923.0,117442.0,170980.0,101083.0,131476.0,181300.0,108426.0,1.0,0.9232458639826756,0.7386934049003528,0.6642500372744894,0.26130659509964715,0.28052747032186676,0.5418340654215139,0.6868756579716926,0.5911978009123874,0.3131243420283074,0.35965291156345647,0.6727772535917639,0.725184776613348,0.5980474351902924,0.274815223386652,0.3522338322638676,0.6270490556505196,1.8416603746637974,1,True,POINT Z (-0.088882065096841 51.5134270269479 0)
Chancery Lane,64852,59920,26059.0,34566.0,22999.0,26895.0,37183.0,23642.0,25472.0,35539.0,23381.0,1.0,0.9239499167334855,0.7538911068680206,0.6653648093502286,0.24610889313197937,0.27986918197628463,0.525978075108264,0.7233144178791383,0.635828201059624,0.2766855821208617,0.3118369410026913,0.588522523123553,0.716733729142632,0.657896958271195,0.283266270857368,0.28795170998325204,0.57121798084062,1.6857185790724372,2,True,POINT Z (-0.111543537681388 51.5182506335764 0)
Moorgate,94115,83568,78602.0,102150.0,66164.0,83876.0,115194.0,69474.0,91205.0,119131.0,74439.0,1.0,0.8879349731711205,0.7694762604013705,0.6477141458639256,0.23052373959862948,0.27053876079380434,0.5010625003924338,0.7281282011215862,0.6031043283504349,0.27187179887841384,0.3207787207698978,0.5926505196483116,0.7655857837170845,0.6248499550914539,0.23441421628291548,0.2962886089958814,0.5307028252787969,1.6244158453195423,3,True,POINT Z (-0.089285420587671 51.5183647341257 0)
Cannon Street,26761,23796,12640.0,16582.0,10640.0,13887.0,17766.0,11653.0,13985.0,19200.0,11871.0,1.0,0.8892044392959905,0.7622723435050054,0.6416596309250995,0.2377276564949946,0.27838908290525355,0.5161167394002482,0.7816616008105369,0.6559157942136665,0.21833839918946307,0.2623565906475067,0.4806949898369698,0.7283854166666667,0.61828125,0.2716145833333333,0.30468042817070096,0.5762950115040343,1.5731067407412522,4,True,POINT Z (-0.090385961310068 51.5114746298082 0)
Mansion House,25400,23527,14313.0,18414.0,12747.0,13689.0,18219.0,11789.0,14708.0,18767.0,11956.0,1.0,0.9262598425196851,0.7772890192245031,0.6922450309547084,0.2227109807754969,0.25264488518512385,0.47535586596062074,0.7513584719249136,0.6470717382951864,0.24864152807508644,0.30141445349182927,0.5500559815669157,0.7837160974050195,0.6370757180156658,0.21628390259498054,0.3122062635441021,0.5284901661390826,1.553902013666619,5,True,POINT Z (-0.094079885333069 51.5118179804533 0)
Waterloo,280218,275968,194037.0,274711.0,205805.0,207517.0,284629.0,217417.0,206602.0,265279.0,213680.0,1.0,0.98483323697978,0.7063313809785556,0.74916912682783,0.29366861902144437,0.23929341669526583,0.5329620357167102,0.7290789062252968,0.76386102610767,0.2709210937747032,0.22437525722605844,0.49529635100076164,0.7788102337538968,0.8054915767927352,0.2211897662461032,0.18210358206130173,0.40329334830740493,1.4315517350248768,6,True,POINT Z (-0.114401197448965 51.5034266227996 0)
Liverpool Street,228674,235846,168847.0,211625.0,182760.0,166832.0,222752.0,172229.0,175044.0,226377.0,174669.0,1.0,1.0313634256627338,0.7978594211458948,0.863603071470762,0.2021405788541052,0.16265881649252034,0.36479939534662553,0.7489584829765839,0.7731872216635541,0.25104151702341615,0.25032514977276865,0.5013666667961848,0.7732410978147073,0.7715845691037517,0.2267589021852927,0.2518790661905169,0.47863796837580963,1.34480403051862,7,True,POINT Z (-0.083187103332268 51.5173539786175 0)
St Paul's,54751,54397,28686.0,35476.0,27759.0,28527.0,35816.0,26495.0,28006.0,35211.0,26116.0,1.0,0.9935343646691385,0.808602999210734,0.7824726575713158,0.19139700078926603,0.2124352358643471,0.4038322366536131,0.7964876033057852,0.7397531829350011,0.20351239669421484,0.2554327165307968,0.45894511322501164,0.7953764448609809,0.7417000369202806,0.2046235551390191,0.25347319298082094,0.45809674811984,1.3208740979984648,8,True,POINT Z (-0.097491844834556 51.5149545361712 0)
Old Street,92971,94807,43771.0,59226.0,50266.0,44066.0,58826.0,49430.0,43640.0,57204.0,46476.0,1.0,1.0197480934915188,0.7390504170465674,0.8487150913450174,0.2609495829534326,0.167720835408381,0.42867041836181363,0.7490905381973957,0.8402747084622446,0.2509094618026043,0.17599776471733786,0.4269072265199422,0.7628837144255647,0.8124606670862178,0.23711628557443531,0.2032731688622912,0.4403894544367265,1.2959670993184824,9,True,POINT Z (-0.087610917874237 51.5250870447369 0)
Covent Garden,45823,55717,30841.0,38212.0,40272.0,30351.0,41036.0,39232.0,26236.0,35714.0,34897.0,1.0,1.2159177705519062,0.8071024808960536,1.0539097665654769,0.19289751910394637,0.1332392764626622,0.3261367955666086,0.7396188712350131,0.956038600253436,0.26038112876498687,0.21373087604477625,0.4741120048097631,0.7346138769110153,0.977123816990536,0.2653861230889847,0.19638988700114268,0.46177601009012736,1.262024810466499,10,True,POINT Z (-0.124341543174305 51.5131460789873 0)
