MSOA21CD,MSOA21NM,year,retail_records,retail_units,total_rateable_value,median_rateable_value,total_floor_area,median_floor_area,vacant_records,vacancy_proxy,retail_units_2019,total_rateable_value_2019,median_rateable_value_2019,total_floor_area_2019,median_floor_area_2019,vacancy_proxy_2019,retail_units_pct_change_2019,total_rateable_value_pct_change_2019,median_rateable_value_pct_change_2019,total_floor_area_pct_change_2019,median_floor_area_pct_change_2019,vacancy_proxy_change_2019
E02000002,Barking and Dagenham 001,2023,32,32,1012050.0,6900.0,12040.98,90.95,7,0.21875,30,1002900.0,7150.0,7371.55,87.01,0.0333333333333333,0.06666666666666667,0.00912354172898594,-0.03496503496503497,0.6334393716382578,0.04528215147684171,0.1854166666666667
E02000002,Barking and Dagenham 001,2024,31,31,961950.0,8000.0,11345.11,90.4,8,0.2580645161290322,30,1002900.0,7150.0,7371.55,87.01,0.0333333333333333,0.03333333333333333,-0.04083158839365839,0.11888111888111888,0.5390399576751158,0.03896103896103897,0.2247311827956989
E02000002,Barking and Dagenham 001,2025,31,31,961950.0,8000.0,11345.11,90.4,4,0.1290322580645161,30,1002900.0,7150.0,7371.55,87.01,0.0333333333333333,0.03333333333333333,-0.04083158839365839,0.11888111888111888,0.5390399576751158,0.03896103896103897,0.0956989247311828
E02000003,Barking and Dagenham 002,2023,178,178,4605000.0,10750.0,37349.3,76.61500000000001,25,0.1404494382022472,164,4554450.0,10750.0,34545.94,76.5,0.0609756097560975,0.08536585365853659,0.011099035009715772,0.0,0.08114875438329368,0.001503267973856328,0.0794738284461497
E02000003,Barking and Dagenham 002,2024,166,166,4074925.0,13750.0,30648.21,77.1,27,0.1626506024096385,164,4554450.0,10750.0,34545.94,76.5,0.0609756097560975,0.012195121951219513,-0.10528713675635916,0.27906976744186046,-0.1128274407933321,0.007843137254901886,0.10167499265354099
E02000003,Barking and Dagenham 002,2025,173,173,4072775.0,13750.0,31477.8,77.14,22,0.1271676300578034,164,4554450.0,10750.0,34545.94,76.5,0.0609756097560975,0.054878048780487805,-0.10575920253817694,0.27906976744186046,-0.08881333088635025,0.008366013071895433,0.0661920203017059
E02000004,Barking and Dagenham 003,2023,20,20,209100.0,8700.0,2084.98,66.04,2,0.1,21,227250.0,8700.0,2375.9700000000003,69.62,0.0,-0.047619047619047616,-0.07986798679867987,0.0,-0.12247208508524948,-0.05142200517092787,0.1
E02000004,Barking and Dagenham 003,2024,17,17,232650.0,10000.0,1935.68,66.04,1,0.0588235294117647,21,227250.0,8700.0,2375.9700000000003,69.62,0.0,-0.19047619047619047,0.023762376237623763,0.14942528735632185,-0.18530957882464852,-0.05142200517092787,0.0588235294117647
E02000004,Barking and Dagenham 003,2025,17,17,232650.0,10000.0,1935.68,66.04,1,0.0588235294117647,21,227250.0,8700.0,2375.9700000000003,69.62,0.0,-0.19047619047619047,0.023762376237623763,0.14942528735632185,-0.18530957882464852,-0.05142200517092787,0.0588235294117647
E02000005,Barking and Dagenham 004,2023,91,91,1332400.0,10000.0,10329.6,62.585,17,0.1868131868131868,82,1043350.0,10000.0,8280.4,64.7,0.0853658536585365,0.10975609756097561,0.2770403028705612,0.0,0.24747596734457283,-0.032689335394126766,0.1014473331546503
E02000005,Barking and Dagenham 004,2024,83,83,2545400.0,10750.0,14180.64,63.895,16,0.1927710843373494,82,1043350.0,10000.0,8280.4,64.7,0.0853658536585365,0.012195121951219513,1.4396415392725357,0.075,0.7125549490362785,-0.012442040185471402,0.10740523067881291
E02000005,Barking and Dagenham 004,2025,82,82,2530900.0,10750.0,13978.42,63.87,13,0.1585365853658536,82,1043350.0,10000.0,8280.4,64.7,0.0853658536585365,0.0,1.4257439976997173,0.075,0.688133423506111,-0.012828438948995446,0.07317073170731711
E02000007,Barking and Dagenham 006,2023,59,59,1420650.0,8700.0,25910.7,82.41,9,0.1525423728813559,46,1390850.0,9000.0,8895.800000000001,83.25,0.0434782608695652,0.2826086956521739,0.02142574684545422,-0.03333333333333333,1.912689134198161,-0.010090090090090131,0.10906411201179068
