,COUNTS (LU/LO/DLR/TfL Rail)--2025 // Station annualised entries and exits,,,,,,,,,,,,,,,,,
,(C) Copyright Transport for London 2026,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Counts by Station,,,,,,,,,,,,,,,,,
,version_v06 2026-04-13,,,,,Typical,,,,,,,,,,,,
Mode,MNLC,MASC,Station,Coverage,Source,Monday,Midweek (Tue-Thu),Friday,Saturday,Sunday,Monday,Midweek (Tue-Thu),Friday,Saturday,Sunday,Weekly,12-week,Annualised
,,,,,,Entry,Entry,Entry,Entry,Entry,Exit,Exit,Exit,Exit,Exit,En/Ex,En/Ex,En/Ex
LU,500,ACTu,Acton Town,Station entry/exit,taps,"7,103","7,879","7,755","5,945","4,494","7,228","8,005","7,823","6,213","4,675","98,885","1,127,999","4,546,929"
LU,502,ALDu,Aldgate,Station entry/exit,taps,"10,241","12,544","9,006","5,966","4,651","11,676","14,426","11,675","7,933","5,423","147,482","1,682,345","6,781,482"
LU,503,ALEu,Aldgate East,Station entry/exit,taps,"17,386","20,021","18,114","17,370","13,302","16,195","19,655","18,311","17,314","11,733","248,750","2,837,522","11,437,969"
LU,505,ALPu,Alperton,Station entry/exit,taps,"3,692","3,476","3,601","2,553","1,932","3,889","3,762","3,743","2,545","1,876","45,546","519,549","2,094,287"
LU,506,AMEu,Amersham,Station entry/exit,taps,"3,224","3,836","2,995","2,460","1,335","3,067","3,742","2,974","2,258","1,250","42,293","482,443","1,944,712"
LU,507,ANGu,Angel,Station entry/exit,taps,"15,757","19,224","18,775","17,822","11,298","16,732","20,328","20,576","19,306","11,642","250,562","2,858,193","11,521,291"
LU,508,ARCu,Archway,Station entry/exit,taps,"10,491","11,885","11,479","9,413","6,890","10,210","11,592","10,943","8,613","6,856","145,324","1,657,730","6,682,262"
LU,509,AGRu,Arnos Grove,Station entry/exit,taps,"4,861","5,444","5,102","4,404","3,060","4,557","5,070","4,780","3,974","2,960","65,244","744,245","3,000,029"
